# Advanced Satellite Tracking Log
# Input: D:\khenk\Downloads\SNC Sat Tracking Peng\__comparison_input.mp4
# Output: D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\track_before_detect\output_video.mp4
#
# frame, track_id, x, y, confidence, speed, vx, vy, quality, intensity
#================================================================================
3, 1, 17, 42, 0.6000, 0.8852, 0.8852, 0.0000, 0.1800, 146.08
4, 1, 18, 42, 0.5000, 0.8852, 0.8852, 0.0000, 0.1500, 146.08
8, 1, 27, 42, 0.7056, 2.3665, 2.3665, 0.0000, 0.2822, 136.94
9, 1, 29, 42, 0.7611, 2.0696, 2.0696, 0.0000, 0.3806, 131.46
10, 1, 31, 42, 0.8167, 1.9879, 1.9879, 0.0000, 0.4900, 127.80
11, 1, 33, 42, 0.8722, 1.9862, 1.9862, 0.0000, 0.6106, 125.19
12, 1, 35, 42, 0.9278, 1.9964, 1.9964, 0.0000, 0.7422, 123.27
13, 1, 37, 42, 0.9833, 2.0006, 2.0006, 0.0000, 0.8850, 121.78
14, 1, 39, 42, 1.0000, 2.0008, 2.0008, 0.0000, 1.0000, 120.58
15, 1, 41, 42, 1.0000, 2.0002, 2.0002, 0.0000, 1.0000, 119.61
16, 1, 43, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 118.79
17, 1, 45, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 118.10
18, 1, 47, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 117.49
19, 1, 49, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 116.96
20, 1, 51, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 116.50
21, 1, 53, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 116.09
22, 1, 55, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 115.72
23, 1, 57, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 115.40
24, 1, 59, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 115.12
25, 1, 61, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 114.87
26, 1, 63, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 114.62
27, 1, 65, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 114.40
28, 1, 67, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 114.20
29, 1, 69, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 114.01
