# Enhanced Poisson Multi-Bernoulli Tracking Log
# Input: D:\khenk\Downloads\SNC Sat Tracking Peng\__comparison_input.mp4
#
# frame, track_id, x, y, existence_prob, confidence, speed, age, detections
#================================================================================
4, 1, 18, 42, 0.9778, 0.5889, 1.0195, 3, 3
5, 1, 23, 42, 0.9975, 0.6403, 4.8399, 4, 4
8, 1, 30, 42, 0.9738, 0.4728, 1.8665, 7, 6
9, 1, 32, 42, 0.9988, 0.5807, 1.9356, 8, 7
10, 1, 34, 42, 0.9996, 0.6234, 1.9945, 9, 8
11, 1, 36, 42, 0.9997, 0.6657, 2.0073, 10, 9
12, 1, 38, 42, 0.9997, 0.7078, 2.0036, 11, 10
13, 1, 40, 42, 0.9997, 0.7498, 2.0003, 12, 11
14, 1, 42, 42, 0.9997, 0.7918, 1.9996, 13, 12
15, 1, 44, 42, 0.9997, 0.8337, 1.9998, 14, 13
16, 1, 46, 42, 0.9997, 0.8756, 2.0000, 15, 14
17, 1, 48, 42, 0.9997, 0.9174, 2.0000, 16, 15
18, 1, 50, 42, 0.9997, 0.9593, 2.0000, 17, 16
19, 1, 52, 42, 0.9997, 1.0000, 2.0000, 18, 17
20, 1, 54, 42, 0.9997, 1.0000, 2.0000, 19, 18
21, 1, 56, 42, 0.9997, 1.0000, 2.0000, 20, 19
22, 1, 58, 42, 0.9997, 1.0000, 2.0000, 21, 20
23, 1, 60, 42, 0.9997, 1.0000, 2.0000, 22, 21
24, 1, 62, 42, 0.9997, 1.0000, 2.0000, 23, 22
25, 1, 64, 42, 0.9997, 1.0000, 2.0000, 24, 23
26, 1, 66, 42, 0.9997, 1.0000, 2.0000, 25, 24
27, 1, 68, 42, 0.9997, 1.0000, 2.0000, 26, 25
28, 1, 70, 42, 0.9997, 1.0000, 2.0000, 27, 26
29, 1, 72, 42, 0.9997, 1.0000, 2.0000, 28, 27
