# Advanced Satellite Tracking Log
# Input: D:\khenk\Downloads\SNC Sat Tracking Peng\__comparison_input.mp4
# Output: D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\imm_adaptive\output_video.mp4
#
# frame, track_id, x, y, confidence, speed, vx, vy, quality, intensity
#================================================================================
3, 1, 17, 42, 0.6000, 0.9026, 0.9026, 0.0000, 0.1800, 146.08
4, 1, 18, 42, 0.7056, 1.0300, 1.0300, 0.0000, 0.2822, 136.94
5, 1, 23, 42, 0.7611, 5.0823, 5.0823, 0.0000, 0.3806, 153.36
6, 1, 26, 42, 0.8167, 3.1124, 3.1124, 0.0000, 0.4900, 164.31
7, 1, 28, 42, 0.8722, 1.9506, 1.9506, 0.0000, 0.6106, 172.13
8, 1, 30, 42, 0.9278, 1.8377, 1.8377, 0.0000, 0.7422, 178.00
9, 1, 32, 42, 0.9833, 1.9540, 1.9540, 0.0000, 0.8850, 182.56
10, 1, 34, 42, 1.0000, 2.0062, 2.0062, 0.0000, 1.0000, 186.21
11, 1, 36, 42, 1.0000, 2.0082, 2.0082, 0.0000, 1.0000, 189.20
12, 1, 38, 42, 1.0000, 2.0019, 2.0019, 0.0000, 1.0000, 191.68
13, 1, 40, 42, 1.0000, 1.9996, 1.9996, 0.0000, 1.0000, 193.79
14, 1, 42, 42, 1.0000, 1.9996, 1.9996, 0.0000, 1.0000, 195.59
15, 1, 44, 42, 1.0000, 1.9999, 1.9999, 0.0000, 1.0000, 197.16
16, 1, 46, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 198.53
17, 1, 48, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 199.73
18, 1, 50, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 200.81
19, 1, 52, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 201.77
20, 1, 54, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 202.63
21, 1, 56, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 203.41
22, 1, 58, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 204.13
23, 1, 60, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 204.77
24, 1, 62, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 205.37
25, 1, 64, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 205.92
26, 1, 66, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 206.42
27, 1, 68, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 206.89
28, 1, 70, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 207.32
29, 1, 72, 42, 1.0000, 2.0000, 2.0000, 0.0000, 1.0000, 207.73
