# Advanced Satellite Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
# Output: D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\parallel_run5_first_video_all_trackers\particle_assisted\output_video.mp4
#
# frame, track_id, x, y, confidence, speed, vx, vy, quality, intensity
#================================================================================
2, 15, 81, 34, 0.6000, 0.9822, 0.9822, 0.0000, 0.1800, 214.33
2, 17, 17, 12, 0.6000, 29.5220, -5.5646, -28.9928, 0.1800, 222.67
2, 24, 60, 59, 0.6000, 35.9799, -35.5396, 5.6115, 0.1800, 178.33
2, 26, 24, 44, 0.6000, 19.9529, -12.2991, -15.7115, 0.1800, 194.00
2, 34, 63, 105, 0.6000, 59.5613, -45.7335, 38.1576, 0.1800, 167.33
2, 42, 56, 94, 0.6000, 1.8705, 1.8705, 0.0000, 0.1800, 172.33
2, 50, 106, 112, 0.6000, 0.9833, -0.9822, 0.0469, 0.1800, 135.78
2, 56, 58, 123, 0.6000, 30.7823, -30.7225, 1.9174, 0.1800, 207.00
3, 2, 14, 1, 0.6000, 13.4611, -13.4611, 0.0000, 0.1800, 221.33
3, 5, 119, 3, 0.6000, 1.3751, 1.0419, 0.8974, 0.1800, 157.33
3, 6, 5, 10, 0.6000, 0.8614, 0.1445, 0.8492, 0.1800, 223.33
3, 9, 99, 22, 0.6000, 2.0659, 2.0659, 0.0000, 0.1800, 158.67
3, 15, 82, 35, 0.7056, 1.2624, 1.0119, 0.7548, 0.2822, 214.25
3, 16, 102, 54, 0.6000, 8.3438, -3.0988, 7.7470, 0.1800, 143.33
3, 26, 11, 22, 0.6556, 24.8707, -13.2028, -21.0769, 0.2622, 197.50
3, 38, 5, 76, 0.6000, 0.9949, 0.9937, 0.0482, 0.1800, 201.67
3, 42, 62, 91, 0.6556, 6.2331, 5.8073, -2.2643, 0.2622, 169.25
3, 45, 89, 120, 0.6000, 63.1042, 59.0361, 22.2906, 0.1800, 170.33
3, 50, 104, 112, 0.7056, 1.7667, -1.7667, -0.0048, 0.2822, 139.33
3, 51, 123, 112, 0.6000, 1.3390, 0.9937, 0.8974, 0.1800, 81.67
3, 56, 23, 127, 0.6556, 35.2531, -35.0751, 3.5382, 0.2622, 205.50
3, 62, 12, 16, 0.6000, 8.3658, -3.8349, 7.4351, 0.1800, 219.67
3, 63, 53, 44, 0.6000, 27.6177, 13.0935, 24.3165, 0.1800, 195.67
3, 67, 118, 123, 0.6000, 25.1705, 25.1579, 0.7944, 0.1800, 138.33
3, 17, 12, -17, 0.5000, 29.5220, -5.5646, -28.9928, 0.1500, 222.67
3, 24, 24, 64, 0.5000, 35.9799, -35.5396, 5.6115, 0.1500, 178.33
3, 34, 17, 143, 0.5000, 59.5613, -45.7335, 38.1576, 0.1500, 167.33
4, 2, 5, 8, 0.6556, 11.1761, -9.3829, 6.0718, 0.2622, 223.75
4, 5, 94, 1, 0.6556, 21.8084, -21.7728, -1.2466, 0.2622, 159.50
4, 6, 7, 21, 0.6556, 10.2573, 1.4843, 10.1493, 0.2622, 230.00
4, 9, 117, 6, 0.6556, 22.5813, 16.9589, -14.9101, 0.2622, 158.50
4, 15, 82, 35, 0.7611, 0.3689, 0.2432, 0.2774, 0.3806, 215.10
4, 16, 102, 55, 0.6556, 1.9359, -0.7190, 1.7974, 0.2622, 145.25
