# Advanced Satellite Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
# Output: D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\run_20260323_103700\imm_adaptive\output_video.mp4
#
# frame, track_id, x, y, confidence, speed, vx, vy, quality, intensity
#================================================================================
2, 9, 81, 34, 0.6000, 17.7237, -13.4568, 11.5344, 0.1800, 180.67
2, 15, 26, 43, 0.6000, 54.4890, -53.7979, 8.6508, 0.1800, 208.00
2, 16, 118, 3, 0.6000, 36.8404, 9.6120, -35.5644, 0.1800, 147.67
2, 17, 17, 12, 0.6000, 30.3446, -5.7379, -29.7972, 0.1800, 222.67
2, 24, 59, 59, 0.6000, 36.9781, -36.5256, 5.7672, 0.1800, 178.33
2, 42, 56, 94, 0.6000, 1.9224, 1.9224, 0.0000, 0.1800, 172.33
2, 50, 106, 112, 0.6000, 0.9910, -0.9905, 0.0293, 0.1800, 135.78
2, 56, 62, 107, 0.6000, 30.8611, -27.7868, -13.4275, 0.1800, 218.00
3, 2, 95, 21, 0.6000, 69.2964, 66.4506, 19.6544, 0.1800, 200.33
3, 6, 5, 10, 0.6000, 0.9102, 0.0909, 0.9056, 0.1800, 223.33
3, 9, 98, 53, 0.6556, 23.0962, 13.7063, 18.5895, 0.2622, 173.25
3, 16, 120, -1, 0.6556, 7.8741, 2.9836, -7.2870, 0.2622, 147.50
3, 17, 13, -1, 0.6556, 15.4319, -4.5111, -14.7578, 0.2622, 221.25
3, 24, 50, 47, 0.6556, 15.1501, -11.4973, -9.8659, 0.2622, 181.00
3, 30, 11, 24, 0.6000, 42.1517, -2.8381, -42.0560, 0.1800, 198.67
3, 38, 5, 76, 0.6000, 0.9970, 0.9965, 0.0303, 0.1800, 201.67
3, 42, 62, 91, 0.6556, 6.4841, 6.0256, -2.3951, 0.2622, 169.25
3, 50, 117, 122, 0.6556, 13.4302, 10.1667, 8.7755, 0.2622, 121.33
3, 51, 123, 112, 0.6000, 1.3671, 0.9965, 0.9359, 0.1800, 81.67
3, 56, 96, 110, 0.6556, 27.9882, 27.9728, 0.9260, 0.2622, 201.00
3, 62, 12, 16, 0.6000, 8.5975, -3.9034, 7.6603, 0.1800, 219.67
3, 63, 81, 35, 0.6000, 43.2006, 40.3704, 15.3792, 0.1800, 204.00
3, 68, 21, 126, 0.6000, 28.5785, 19.2240, 21.1464, 0.1800, 163.67
3, 69, 94, 122, 0.6000, 1.8658, 1.8638, -0.0880, 0.1800, 172.00
3, 15, -28, 51, 0.5000, 54.4890, -53.7979, 8.6508, 0.1500, 208.00
4, 2, 131, 52, 0.6556, 49.3010, 38.7472, 30.4835, 0.2622, 177.25
4, 6, 2, 10, 0.7056, 2.4549, -2.4429, 0.2417, 0.2822, 221.25
4, 9, 114, 67, 0.7111, 21.0542, 15.6367, 14.0987, 0.3556, 161.60
4, 15, 4, 75, 0.6556, 18.0657, -4.2166, 17.5668, 0.2622, 214.00
4, 16, 120, 1, 0.7111, 2.1588, 0.5632, 2.0841, 0.3556, 149.60
4, 17, 6, 6, 0.7111, 8.4668, -6.3829, 5.5629, 0.3556, 223.20
4, 24, 52, 33, 0.7111, 14.3482, 0.8968, -14.3202, 0.3556, 187.80
4, 30, 26, -1, 0.6556, 29.4000, 12.9587, -26.3900, 0.2622, 205.00
4, 38, 17, 75, 0.6556, 11.4624, 11.4335, -0.8143, 0.2622, 198.00
4, 42, 68, 94, 0.7111, 6.2209, 5.6935, 2.5068, 0.3556, 166.80
4, 50, 124, 126, 0.7111, 8.5205, 7.3323, 4.3400, 0.3556, 113.47
4, 51, 123, 95, 0.6556, 15.8127, 0.2049, -15.8114, 0.2622, 81.00
4, 56, 125, 112, 0.7111, 29.1806, 29.1169, 1.9263, 0.3556, 177.80
4, 62, 7, 23, 0.6556, 8.8019, -4.8528, 7.3433, 0.2622, 227.25
4, 63, 104, 54, 0.6556, 31.3157, 25.1452, 18.6652, 0.2622, 190.75
4, 68, 40, 125, 0.6556, 18.7587, 18.7410, 0.8157, 0.2622, 158.75
4, 69, 97, 124, 0.7056, 3.2723, 2.8452, 1.6163, 0.2822, 192.75
5, 6, 2, 27, 0.7111, 15.4088, -0.7709, 15.3895, 0.3556, 226.80
5, 15, 7, 78, 0.7111, 4.1574, 2.5456, 3.2869, 0.3556, 206.80
5, 20, 31, 29, 0.6000, 17.9782, -3.7037, -17.5926, 0.1800, 206.33
5, 33, 64, 74, 0.6000, 32.5686, -32.4465, 2.8169, 0.1800, 158.67
5, 41, 65, 92, 0.6000, 1.3651, 0.9846, 0.9455, 0.1800, 165.00
5, 50, 127, 114, 0.7667, 10.6505, 2.6308, -10.3204, 0.4600, 107.56
5, 62, 6, 24, 0.7111, 1.6885, -1.0271, 1.3401, 0.3556, 223.20
