# Enhanced Poisson Multi-Bernoulli Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
#
# frame, track_id, x, y, existence_prob, confidence, speed, age, detections
#================================================================================
7, 2, 99, 114, 0.9997, 0.7664, 1.3031, 7, 7
7, 3, 104, 127, 0.9997, 0.7664, 2.4504, 7, 7
7, 5, 123, 3, 0.9997, 0.7623, 0.9996, 5, 6
8, 2, 97, 114, 0.9997, 0.8081, 1.7648, 8, 8
8, 5, 125, 4, 0.9997, 0.7998, 1.9227, 6, 7
8, 7, 30, 127, 0.9997, 0.7623, 1.7490, 5, 6
9, 2, 96, 115, 0.9997, 0.8497, 1.4445, 9, 9
9, 5, 126, 4, 0.9997, 0.8384, 1.3249, 7, 8
9, 7, 30, 127, 0.9996, 0.7998, 0.4868, 6, 7
9, 9, 11, 8, 0.9997, 0.7623, 1.2363, 5, 6
10, 2, 95, 115, 0.9997, 0.8914, 1.0229, 10, 10
10, 5, 127, 4, 0.9997, 0.8779, 1.0000, 8, 9
10, 7, 28, 127, 0.9995, 0.8383, 2.3610, 7, 8
10, 9, 12, 8, 0.9997, 0.7998, 1.0250, 6, 7
11, 4, 89, 38, 0.9997, 0.7888, 1.0098, 11, 10
11, 2, 93, 116, 0.9997, 0.9331, 1.8836, 11, 11
11, 9, 13, 8, 0.9997, 0.8385, 0.9975, 7, 8
12, 4, 90, 38, 0.9997, 0.8310, 1.0409, 12, 11
12, 2, 93, 116, 0.9996, 0.9747, 0.5721, 12, 12
12, 9, 14, 6, 0.9996, 0.8778, 1.7914, 8, 9
13, 2, 91, 117, 0.9997, 1.0000, 1.6522, 13, 13
14, 4, 92, 39, 0.9996, 0.9152, 1.6550, 14, 13
14, 2, 89, 117, 0.9997, 1.0000, 2.0309, 14, 14
15, 4, 93, 38, 0.9996, 0.9572, 1.3806, 15, 14
15, 2, 88, 118, 0.9997, 1.0000, 1.5172, 15, 15
16, 4, 94, 40, 0.9996, 0.9991, 1.6154, 16, 15
16, 2, 86, 118, 0.9997, 1.0000, 1.7555, 16, 16
17, 4, 95, 40, 0.9997, 1.0000, 1.1142, 17, 16
17, 2, 85, 119, 0.9997, 1.0000, 1.4451, 17, 17
18, 4, 96, 40, 0.9997, 1.0000, 0.9841, 18, 17
18, 2, 84, 119, 0.9997, 1.0000, 1.0135, 18, 18
19, 4, 97, 41, 0.9997, 1.0000, 1.2160, 19, 18
19, 2, 82, 120, 0.9997, 1.0000, 1.8790, 19, 19
20, 4, 98, 41, 0.9997, 1.0000, 1.0351, 20, 19
20, 2, 81, 120, 0.9997, 1.0000, 1.3029, 20, 20
20, 9, 24, 6, 0.9997, 0.7664, 1.7623, 16, 16
21, 4, 99, 41, 0.9997, 1.0000, 1.0009, 21, 20
21, 2, 79, 121, 0.9997, 1.0000, 1.9177, 21, 21
21, 9, 25, 6, 0.9997, 0.8081, 1.2970, 17, 17
21, 14, 16, 31, 0.9997, 0.7664, 1.7475, 10, 10
22, 4, 100, 42, 0.9997, 1.0000, 1.2354, 22, 21
22, 2, 78, 121, 0.9997, 1.0000, 1.2762, 22, 22
22, 14, 17, 31, 0.9997, 0.8081, 1.2497, 11, 11
23, 4, 101, 42, 0.9997, 1.0000, 1.0376, 23, 22
23, 2, 77, 121, 0.9997, 1.0000, 0.9846, 23, 23
23, 14, 19, 31, 0.9997, 0.8498, 1.7501, 12, 12
24, 2, 76, 121, 0.9997, 1.0000, 0.9583, 24, 24
24, 14, 21, 30, 0.9997, 0.8914, 2.1541, 13, 13
25, 4, 103, 41, 0.9996, 1.0000, 1.6775, 25, 24
25, 2, 74, 121, 0.9997, 1.0000, 1.7500, 25, 25
25, 14, 22, 30, 0.9997, 0.9331, 1.3113, 14, 14
26, 4, 104, 43, 0.9996, 1.0000, 1.7773, 26, 25
26, 2, 73, 121, 0.9997, 1.0000, 1.2927, 26, 26
26, 14, 24, 30, 0.9997, 0.9747, 1.7221, 15, 15
27, 4, 105, 43, 0.9997, 1.0000, 1.1948, 27, 26
27, 2, 72, 120, 0.9997, 1.0000, 1.2589, 27, 27
27, 14, 25, 30, 0.9997, 1.0000, 1.2360, 16, 16
28, 4, 106, 44, 0.9997, 1.0000, 1.2658, 28, 27
28, 2, 71, 120, 0.9997, 1.0000, 1.0014, 28, 28
28, 11, 32, 90, 0.9997, 0.7888, 1.4938, 22, 20
28, 14, 27, 29, 0.9997, 1.0000, 1.9015, 17, 17
29, 4, 107, 44, 0.9997, 1.0000, 1.0089, 29, 28
29, 2, 70, 120, 0.9997, 1.0000, 0.9837, 29, 29
29, 9, 33, 3, 0.9997, 0.7584, 1.2707, 25, 24
29, 11, 33, 90, 0.9997, 0.8302, 1.0314, 23, 21
29, 14, 29, 29, 0.9997, 1.0000, 2.0365, 18, 18
30, 4, 108, 45, 0.9997, 1.0000, 1.2370, 30, 29
30, 2, 69, 120, 0.9997, 1.0000, 1.0008, 30, 30
30, 9, 34, 3, 0.9997, 0.7999, 1.0143, 26, 25
30, 11, 34, 91, 0.9997, 0.8716, 1.2168, 24, 22
30, 14, 30, 29, 0.9997, 1.0000, 1.2787, 19, 19
30, 19, 119, 120, 0.9997, 0.7664, 2.0152, 10, 10
31, 4, 109, 45, 0.9997, 1.0000, 1.0314, 31, 30
31, 2, 68, 119, 0.9997, 1.0000, 1.2505, 31, 31
31, 9, 36, 2, 0.9997, 0.8414, 1.9096, 27, 26
31, 11, 35, 91, 0.9997, 0.9131, 1.0150, 25, 23
31, 14, 32, 29, 0.9997, 1.0000, 1.7227, 20, 20
32, 4, 110, 45, 0.9997, 1.0000, 1.0010, 32, 31
32, 2, 67, 119, 0.9997, 1.0000, 1.0426, 32, 32
32, 9, 37, 2, 0.9997, 0.8829, 1.3143, 28, 27
32, 14, 34, 29, 0.9997, 1.0000, 1.9992, 21, 21
33, 4, 111, 46, 0.9997, 1.0000, 1.2342, 33, 32
33, 2, 66, 118, 0.9997, 1.0000, 1.2599, 33, 33
33, 9, 38, 2, 0.9997, 0.9244, 1.0017, 29, 28
33, 14, 36, 28, 0.9997, 1.0000, 2.1785, 22, 22
34, 4, 112, 46, 0.9997, 1.0000, 1.0379, 34, 33
34, 2, 65, 118, 0.9997, 1.0000, 1.0307, 34, 34
34, 9, 39, 1, 0.9997, 0.9660, 1.1993, 30, 29
34, 14, 37, 28, 0.9997, 1.0000, 1.2856, 23, 23
34, 20, 21, 116, 0.9997, 0.7664, 1.2908, 12, 12
35, 4, 113, 47, 0.9997, 1.0000, 1.2588, 35, 34
35, 2, 64, 118, 0.9997, 1.0000, 1.0001, 35, 35
35, 9, 40, 1, 0.9997, 1.0000, 1.0223, 31, 30
35, 14, 39, 28, 0.9997, 1.0000, 1.7083, 24, 24
35, 20, 23, 116, 0.9997, 0.8081, 1.7666, 13, 13
36, 4, 114, 47, 0.9997, 1.0000, 1.0311, 36, 35
36, 2, 63, 118, 0.9997, 1.0000, 1.0009, 36, 36
36, 9, 42, 1, 0.9997, 1.0000, 1.7638, 32, 31
36, 14, 41, 28, 0.9997, 1.0000, 1.9982, 25, 25
36, 17, 19, 115, 0.9997, 0.7547, 2.5320, 17, 16
36, 20, 24, 115, 0.9997, 0.8497, 1.4654, 14, 14
37, 4, 116, 47, 0.9997, 1.0000, 1.7640, 37, 36
37, 2, 62, 117, 0.9997, 1.0000, 1.2500, 37, 37
37, 9, 43, 1, 0.9997, 1.0000, 1.2947, 33, 32
37, 14, 42, 28, 0.9997, 1.0000, 1.2779, 26, 26
37, 17, 20, 115, 0.9997, 0.7963, 1.5028, 18, 17
37, 20, 25, 115, 0.9997, 0.8914, 1.0263, 15, 15
38, 4, 117, 48, 0.9997, 1.0000, 1.4795, 38, 37
38, 9, 44, 0, 0.9997, 1.0000, 1.2498, 34, 33
38, 14, 44, 27, 0.9997, 1.0000, 1.8861, 27, 27
38, 17, 22, 115, 0.9997, 0.8379, 1.7325, 19, 18
38, 20, 27, 115, 0.9997, 0.9331, 1.7212, 16, 16
39, 4, 118, 48, 0.9997, 1.0000, 1.0379, 39, 38
39, 14, 46, 27, 0.9997, 1.0000, 2.0216, 28, 28
39, 17, 24, 115, 0.9997, 0.8795, 1.9704, 20, 19
39, 20, 28, 115, 0.9997, 0.9747, 1.2786, 17, 17
40, 4, 119, 48, 0.9997, 1.0000, 0.9574, 40, 39
40, 9, 54, 4, 0.8839, 0.9766, 9.8637, 36, 35
40, 14, 47, 27, 0.9997, 1.0000, 1.2763, 29, 29
40, 17, 26, 115, 0.9997, 0.9212, 2.0277, 21, 20
40, 20, 30, 115, 0.9997, 1.0000, 1.7649, 18, 18
41, 4, 120, 49, 0.9997, 1.0000, 1.2213, 41, 40
41, 14, 49, 27, 0.9997, 1.0000, 1.7241, 30, 30
41, 17, 28, 115, 0.9997, 0.9628, 2.0149, 22, 21
41, 20, 31, 114, 0.9997, 1.0000, 1.4663, 19, 19
42, 4, 121, 49, 0.9997, 1.0000, 1.0375, 42, 41
42, 14, 51, 28, 0.9997, 1.0000, 2.1468, 31, 31
42, 17, 30, 114, 0.9997, 1.0000, 2.1424, 23, 22
43, 4, 122, 50, 0.9997, 1.0000, 1.2603, 43, 42
43, 14, 52, 28, 0.9997, 1.0000, 1.3093, 32, 32
43, 17, 32, 114, 0.9997, 1.0000, 2.0197, 24, 23
43, 27, 94, 109, 0.9997, 0.7623, 0.9843, 5, 6
44, 4, 123, 50, 0.9997, 1.0000, 1.0320, 44, 43
44, 14, 54, 28, 0.9997, 1.0000, 1.7236, 33, 33
44, 17, 34, 114, 0.9997, 1.0000, 1.9992, 25, 24
44, 27, 95, 110, 0.9997, 0.7998, 1.2100, 6, 7
45, 4, 124, 50, 0.9997, 1.0000, 1.0001, 45, 44
45, 2, 54, 114, 0.9997, 0.7620, 1.0377, 45, 44
45, 14, 55, 28, 0.9997, 1.0000, 1.2368, 34, 34
