# Enhanced Poisson Multi-Bernoulli Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
#
# frame, track_id, x, y, existence_prob, confidence, speed, age, detections
#================================================================================
3, 1, 6, 10, 0.9345, 0.5673, 10.0585, 3, 3
3, 2, 12, 16, 0.9320, 0.5660, 5.8331, 3, 3
3, 3, 82, 35, 0.9215, 0.5608, 8.2547, 3, 3
3, 4, 62, 91, 0.8911, 0.5456, 6.2467, 3, 3
4, 2, 7, 23, 0.9960, 0.6395, 8.3657, 4, 4
4, 7, 13, 35, 0.8198, 0.5714, 13.9562, 2, 3
4, 8, 54, 32, 0.8219, 0.5726, 13.4223, 2, 3
5, 2, 2, 29, 0.9996, 0.6831, 8.3109, 5, 5
5, 5, 102, 113, 0.9996, 0.6831, 1.0218, 5, 5
5, 6, 99, 125, 0.9996, 0.6831, 2.6320, 5, 5
5, 10, 121, 3, 0.9981, 0.6947, 1.0064, 3, 4
5, 11, 126, 112, 0.9980, 0.6946, 1.2807, 3, 4
6, 5, 100, 114, 0.9997, 0.7248, 1.8856, 6, 6
6, 6, 102, 126, 0.9997, 0.7248, 2.9529, 6, 6
6, 10, 122, 3, 0.9996, 0.7268, 1.0021, 4, 5
6, 11, 127, 113, 0.9996, 0.7268, 1.2258, 4, 5
6, 12, 27, 127, 0.9980, 0.6947, 1.7374, 3, 4
7, 5, 99, 114, 0.9997, 0.7664, 1.3031, 7, 7
7, 6, 104, 127, 0.9997, 0.7664, 2.4504, 7, 7
7, 10, 123, 3, 0.9997, 0.7623, 0.9996, 5, 6
7, 11, 127, 101, 0.5621, 0.4724, 10.4190, 5, 6
7, 12, 28, 127, 0.9996, 0.7268, 1.2421, 4, 5
7, 13, 9, 9, 0.9979, 0.6946, 1.3122, 3, 4
8, 9, 87, 37, 0.9997, 0.6613, 1.2727, 8, 7
8, 5, 97, 114, 0.9997, 0.8081, 1.7648, 8, 8
8, 10, 125, 4, 0.9997, 0.7998, 1.9227, 6, 7
8, 12, 30, 127, 0.9997, 0.7623, 1.7490, 5, 6
8, 13, 10, 9, 0.9996, 0.7268, 1.0456, 4, 5
8, 14, 81, 35, 0.9604, 0.6722, 7.0387, 3, 4
9, 9, 88, 37, 0.9997, 0.7040, 0.9765, 9, 8
9, 5, 96, 115, 0.9997, 0.8497, 1.4445, 9, 9
9, 10, 126, 4, 0.9997, 0.8384, 1.3249, 7, 8
9, 12, 30, 127, 0.9996, 0.7998, 0.4868, 6, 7
9, 13, 11, 8, 0.9997, 0.7623, 1.2363, 5, 6
10, 4, 74, 90, 0.9953, 0.6067, 6.6516, 10, 8
10, 5, 95, 115, 0.9997, 0.8914, 1.0229, 10, 10
10, 10, 127, 4, 0.9997, 0.8779, 1.0000, 8, 9
10, 12, 28, 127, 0.9995, 0.8383, 2.3610, 7, 8
10, 13, 12, 8, 0.9997, 0.7998, 1.0250, 6, 7
11, 9, 89, 38, 0.9997, 0.7888, 1.0098, 11, 10
11, 5, 93, 116, 0.9997, 0.9331, 1.8836, 11, 11
11, 12, 15, 122, 0.7845, 0.7105, 12.5359, 8, 9
11, 13, 13, 8, 0.9997, 0.8385, 0.9975, 7, 8
12, 9, 90, 38, 0.9997, 0.8310, 1.0409, 12, 11
12, 5, 93, 116, 0.9996, 0.9747, 0.5721, 12, 12
12, 13, 14, 6, 0.9996, 0.8778, 1.7914, 8, 9
12, 17, 30, 80, 0.8461, 0.5865, 4.8137, 2, 3
13, 5, 91, 117, 0.9997, 1.0000, 1.6522, 13, 13
13, 16, 73, 98, 0.9879, 0.5939, 4.3368, 5, 5
14, 9, 92, 39, 0.9996, 0.9152, 1.6550, 14, 13
14, 4, 72, 95, 0.9725, 0.5550, 6.3147, 14, 11
14, 5, 89, 117, 0.9997, 1.0000, 2.0309, 14, 14
14, 15, 18, 80, 0.9997, 0.6831, 1.4506, 8, 8
15, 9, 93, 38, 0.9996, 0.9572, 1.3806, 15, 14
15, 5, 88, 118, 0.9997, 1.0000, 1.5172, 15, 15
15, 15, 28, 76, 0.9508, 0.6942, 9.3668, 9, 9
16, 9, 94, 40, 0.9996, 0.9991, 1.6154, 16, 15
