# Advanced Satellite Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
# Output: d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_jpda_lite.mp4
#
# frame, track_id, x, y, confidence, speed, vx, vy, quality, intensity
#================================================================================
2, 12, 85, 31, 0.6300, 2.1296, -1.9048, 0.9524, 0.1890, 172.00
2, 15, 81, 34, 0.6000, 0.9860, 0.9860, 0.0000, 0.1800, 214.33
2, 50, 106, 112, 0.6000, 0.9866, -0.9860, 0.0336, 0.1800, 135.78
2, 56, 92, 122, 0.6000, 2.2349, 2.0056, 0.9860, 0.1800, 251.00
2, 17, 24, 43, 0.6000, 1.3708, 0.9860, 0.9524, 0.1800, 205.33
2, 42, 56, 94, 0.6000, 1.9048, 1.9048, 0.0000, 0.1800, 172.33
2, 9, 117, 3, 0.6000, 29.0281, 21.9048, -19.0476, 0.1800, 162.00
2, 16, 60, 58, 0.6000, 51.2873, -47.6190, 19.0476, 0.1800, 158.00
3, 38, 5, 76, 0.6000, 0.9936, 0.9928, 0.0376, 0.1800, 201.67
3, 51, 122, 115, 0.6300, 3.6716, 0.0751, 3.6708, 0.1890, 81.67
3, 6, 9, 9, 0.6600, 3.7837, 3.7835, -0.0376, 0.1980, 223.33
3, 56, 94, 122, 0.7056, 2.0294, 2.0133, 0.2550, 0.2822, 233.00
3, 15, 83, 34, 0.7356, 1.7620, 1.7620, 0.0000, 0.2942, 214.25
3, 50, 104, 112, 0.7056, 1.7620, -1.7620, -0.0037, 0.2822, 139.33
3, 12, 58, 43, 0.6556, 26.2082, -23.8760, 10.8077, 0.2622, 176.25
3, 24, 102, 54, 0.6000, 3.1147, 3.0723, 0.5121, 0.1800, 163.67
3, 62, 12, 13, 0.6600, 4.8359, -3.8768, 2.8908, 0.1980, 219.67
3, 30, 28, 47, 0.6300, 22.8601, 13.7281, -18.2791, 0.1890, 198.67
3, 2, 14, 1, 0.6000, 13.7657, -13.7657, 0.0000, 0.1800, 221.33
