# Advanced Satellite Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
# Output: d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_mht_lite.mp4
#
# frame, track_id, x, y, confidence, speed, vx, vy, quality, intensity
#================================================================================
2, 9, 81, 34, 0.6000, 17.5610, -13.3333, 11.4286, 0.1800, 180.67
2, 15, 26, 43, 0.6000, 53.9845, -53.2997, 8.5714, 0.1800, 208.00
2, 16, 118, 3, 0.6000, 36.5024, 9.5238, -35.2381, 0.1800, 147.67
2, 17, 17, 12, 0.6000, 30.0654, -5.6807, -29.5238, 0.1800, 222.67
2, 24, 59, 59, 0.6000, 36.6388, -36.1905, 5.7143, 0.1800, 178.33
2, 42, 56, 94, 0.6000, 1.9048, 1.9048, 0.0000, 0.1800, 172.33
2, 50, 106, 112, 0.6000, 0.9866, -0.9860, 0.0336, 0.1800, 135.78
2, 56, 62, 107, 0.6000, 30.5636, -27.5182, -13.2997, 0.1800, 218.00
3, 2, 12, 20, 0.6000, 24.0888, -15.6011, 18.3542, 0.1800, 218.33
3, 6, 5, 10, 0.6000, 0.8873, 0.1127, 0.8801, 0.1800, 223.33
3, 9, 80, 36, 0.6556, 4.8069, -2.8680, 3.8576, 0.2622, 189.00
3, 12, 97, 23, 0.6556, 10.8672, 9.0421, -6.0280, 0.2622, 167.50
3, 17, 13, -1, 0.6556, 16.2115, -4.5698, -15.5541, 0.2622, 221.25
3, 30, 52, 46, 0.6000, 41.3916, 36.6708, -19.1968, 0.1800, 192.33
3, 38, 5, 76, 0.6000, 0.9936, 0.9928, 0.0376, 0.1800, 201.67
3, 42, 62, 91, 0.6556, 6.2174, 5.7919, -2.2605, 0.2622, 169.25
3, 50, 104, 112, 0.7056, 1.7620, -1.7620, -0.0037, 0.2822, 139.33
3, 51, 123, 112, 0.6000, 1.3520, 0.9928, 0.9177, 0.1800, 81.67
3, 62, 12, 16, 0.6000, 8.5187, -3.8768, 7.5854, 0.1800, 219.67
3, 63, 86, 30, 0.6000, 45.9715, 44.7619, 10.4762, 0.1800, 190.67
3, 68, 21, 126, 0.6000, 28.3163, 19.0476, 20.9524, 0.1800, 163.67
3, 69, 94, 122, 0.6000, 1.8403, 1.8375, -0.1008, 0.1800, 172.00
3, 15, -28, 51, 0.5400, 53.9845, -53.2997, 8.5714, 0.1620, 208.00
3, 16, 127, -32, 0.5400, 36.5024, 9.5238, -35.2381, 0.1620, 147.67
3, 24, 23, 65, 0.5400, 36.6388, -36.1905, 5.7143, 0.1620, 178.33
3, 56, 34, 94, 0.5400, 30.5636, -27.5182, -13.2997, 0.1620, 218.00
4, 2, 11, 35, 0.6556, 16.2256, -3.0252, 15.9411, 0.2622, 217.25
4, 6, 6, 9, 0.7056, 0.8745, 0.7302, -0.4811, 0.2822, 225.25
4, 9, 81, 36, 0.7111, 0.6868, 0.6829, -0.0725, 0.3556, 194.90
4, 24, 14, 64, 0.6556, 21.1431, -21.0117, 2.3536, 0.2622, 179.62
4, 30, 87, 30, 0.6556, 39.5132, 35.6771, -16.9833, 0.2622, 188.75
4, 38, 7, 76, 0.7056, 1.7634, 1.7634, -0.0090, 0.2822, 209.25
4, 42, 68, 94, 0.7111, 6.1124, 5.6928, 2.2258, 0.3556, 166.80
4, 50, 103, 113, 0.7611, 1.4885, -1.2811, 0.7578, 0.3806, 136.27
4, 51, 125, 112, 0.7056, 1.7835, 1.7634, 0.2670, 0.2822, 82.50
4, 56, 19, 75, 0.6556, 26.6934, -21.0166, -16.4572, 0.2622, 210.25
4, 62, 7, 23, 0.6556, 8.7737, -4.7949, 7.3476, 0.2622, 227.25
4, 63, 127, 52, 0.6556, 47.1929, 42.2981, 20.9296, 0.2622, 170.00
4, 68, 40, 125, 0.6556, 18.8351, 18.7366, 1.9234, 0.2622, 158.75
4, 69, 97, 124, 0.7056, 3.1720, 2.7852, 1.5180, 0.2822, 192.75
4, 12, 107, 17, 0.5956, 10.8672, 9.0421, -6.0280, 0.2382, 167.50
4, 17, 8, -17, 0.5956, 16.2115, -4.5698, -15.5541, 0.2382, 221.25
5, 6, 6, 9, 0.7611, 0.3879, 0.2541, -0.2931, 0.3806, 227.50
5, 9, 83, 34, 0.7667, 1.9784, 1.4425, -1.3540, 0.4600, 195.17
5, 12, 121, 3, 0.7111, 15.9450, 12.0576, -10.4335, 0.3556, 162.80
5, 20, 31, 30, 0.6000, 17.3868, -3.5819, -17.0138, 0.1800, 206.33
5, 33, 64, 74, 0.6000, 31.5144, -31.3950, 2.7402, 0.1800, 158.67
5, 38, 8, 76, 0.7611, 1.2821, 1.2821, -0.0083, 0.3806, 203.00
5, 41, 65, 92, 0.6000, 1.3430, 0.9762, 0.9224, 0.1800, 165.00
5, 50, 102, 113, 0.8167, 1.0374, -0.9962, 0.2894, 0.4900, 138.56
5, 51, 126, 112, 0.7611, 1.2823, 1.2821, -0.0225, 0.3806, 81.60
5, 56, 1, 33, 0.7111, 43.5029, -17.5179, -39.8199, 0.3556, 218.00
5, 62, 6, 24, 0.7111, 2.1170, -1.2531, 1.7063, 0.3556, 223.20
5, 68, 64, 123, 0.7111, 23.5654, 23.4787, -2.0200, 0.3556, 153.60
5, 69, 99, 125, 0.7611, 2.6661, 2.3089, 1.3330, 0.3806, 204.40
5, 73, 88, 29, 0.6000, 40.5816, -31.3950, 25.7143, 0.1800, 160.33
5, 74, 126, 54, 0.6000, 23.8095, 23.8095, 0.0000, 0.1800, 136.33
5, 2, 8, 51, 0.5956, 16.2256, -3.0252, 15.9411, 0.2382, 217.25
5, 17, 4, -32, 0.5356, 16.2115, -4.5698, -15.5541, 0.2142, 221.25
5, 24, -7, 67, 0.5956, 21.1431, -21.0117, 2.3536, 0.2382, 179.62
5, 30, 123, 13, 0.5956, 39.5132, 35.6771, -16.9833, 0.2382, 188.75
5, 42, 74, 96, 0.6511, 6.1124, 5.6928, 2.2258, 0.3256, 166.80
5, 63, 170, 73, 0.5956, 47.1929, 42.2981, 20.9296, 0.2382, 170.00
6, 2, 11, 72, 0.7111, 18.5439, 0.4118, 18.5393, 0.3556, 210.80
6, 6, 8, 15, 0.8167, 5.5219, 1.5192, 5.3088, 0.4900, 226.25
6, 9, 85, 36, 0.8222, 2.2271, 1.9789, 1.0217, 0.5756, 202.86
6, 12, 124, 2, 0.7667, 4.3708, 3.5733, -2.5170, 0.4600, 161.00
6, 20, 31, 26, 0.6556, 5.3962, -1.1117, -5.2805, 0.2622, 211.50
6, 33, 23, 75, 0.6556, 39.4137, -39.3821, 1.5760, 0.2622, 165.50
6, 38, 9, 77, 0.8167, 1.2547, 0.9964, 0.7625, 0.4900, 202.33
6, 50, 100, 114, 0.8722, 1.8794, -1.7181, 0.7618, 0.6106, 141.62
6, 51, 127, 113, 0.8167, 1.2275, 0.9964, 0.7169, 0.4900, 80.50
6, 59, 88, 112, 0.6556, 5.8566, 3.2851, -4.8485, 0.2622, 114.50
6, 69, 102, 126, 0.8167, 2.9608, 2.7678, 1.0515, 0.4900, 212.17
6, 73, 71, 57, 0.6556, 33.3356, -19.0891, 27.3289, 0.2622, 168.75
6, 83, 33, 95, 0.6000, 24.7619, -24.7619, 0.0000, 0.1800, 167.33
6, 86, 27, 127, 0.6000, 1.9384, 1.9384, 0.0000, 0.1800, 183.33
6, 30, 159, -4, 0.5356, 39.5132, 35.6771, -16.9833, 0.2142, 188.75
6, 41, 66, 93, 0.5400, 1.3430, 0.9762, 0.9224, 0.1620, 165.00
6, 42, 79, 99, 0.5911, 6.1124, 5.6928, 2.2258, 0.2956, 166.80
6, 62, 5, 26, 0.6511, 2.1170, -1.2531, 1.7063, 0.3256, 223.20
6, 63, 212, 94, 0.5356, 47.1929, 42.2981, 20.9296, 0.2142, 170.00
6, 68, 88, 121, 0.6511, 23.5654, 23.4787, -2.0200, 0.3256, 153.60
6, 74, 150, 54, 0.5400, 23.8095, 23.8095, 0.0000, 0.1620, 136.33
7, 2, 20, 79, 0.7667, 12.0237, 8.8962, 8.0886, 0.4600, 210.17
7, 6, 8, 23, 0.8222, 7.4360, 0.5428, 7.4162, 0.5756, 223.50
7, 9, 86, 36, 0.8778, 1.4352, 1.3093, 0.5877, 0.7022, 202.75
7, 12, 124, 2, 0.8222, 0.6659, 0.4034, 0.5297, 0.5756, 158.86
7, 20, 12, 11, 0.7111, 21.9350, -16.7224, -14.1952, 0.3556, 213.40
7, 38, 10, 77, 0.8722, 1.0020, 0.9577, 0.2944, 0.6106, 201.00
7, 39, 12, 39, 0.6000, 41.1067, 9.9581, -39.8823, 0.1800, 191.67
7, 41, 66, 93, 0.7056, 0.6859, 0.4713, 0.4983, 0.2822, 165.00
7, 50, 99, 114, 0.9278, 1.3053, -1.2802, 0.2546, 0.7422, 142.92
7, 62, 5, 36, 0.7667, 6.4389, -0.6004, 6.4109, 0.4600, 219.83
7, 69, 104, 127, 0.8722, 2.4489, 2.2480, 0.9712, 0.6106, 218.29
7, 73, 61, 94, 0.7111, 38.1655, -11.3122, 36.4505, 0.3556, 166.80
7, 80, 33, 30, 0.6000, 37.7677, -25.7335, -27.6440, 0.1800, 199.33
7, 81, 126, 97, 0.6000, 31.9464, 10.1699, 30.2844, 0.1800, 99.67
7, 86, 28, 127, 0.7056, 1.2672, 1.2672, 0.0000, 0.2822, 187.25
7, 33, -16, 77, 0.5956, 39.4137, -39.3821, 1.5760, 0.2382, 165.50
7, 42, 85, 101, 0.5311, 6.1124, 5.6928, 2.2258, 0.2656, 166.80
7, 51, 128, 114, 0.7567, 1.2275, 0.9964, 0.7169, 0.4540, 80.50
7, 59, 91, 107, 0.5956, 5.8566, 3.2851, -4.8485, 0.2382, 114.50
7, 68, 111, 119, 0.5911, 23.5654, 23.4787, -2.0200, 0.2956, 153.60
7, 83, 8, 95, 0.5400, 24.7619, -24.7619, 0.0000, 0.1620, 167.33
8, 6, 27, 42, 0.8778, 24.6903, 16.7922, 18.1006, 0.7022, 222.69
8, 9, 87, 37, 0.9333, 1.2868, 0.9753, 0.8393, 0.8400, 204.44
8, 19, 52, 48, 0.6000, 39.5457, 39.2807, 4.5706, 0.1800, 203.00
8, 28, 51, 60, 0.6000, 4.6193, 0.9008, -4.5306, 0.1800, 206.33
8, 38, 11, 77, 0.9278, 0.9841, 0.9841, 0.0038, 0.7422, 202.62
8, 39, 26, 0, 0.6556, 41.1850, 13.7059, -38.8375, 0.2622, 203.25
8, 41, 67, 93, 0.7611, 0.8631, 0.8589, 0.0848, 0.3806, 164.80
8, 42, 87, 114, 0.7667, 7.3001, 4.4642, 5.7760, 0.4600, 157.50
8, 50, 97, 114, 0.9833, 1.7571, -1.7571, -0.0112, 0.8850, 143.87
8, 59, 98, 93, 0.7111, 11.5172, 5.3234, -10.2131, 0.3556, 114.80
8, 71, 60, 96, 0.6000, 29.7892, 29.7361, -1.7785, 0.1800, 160.33
8, 80, 10, 8, 0.6556, 32.3500, -23.3686, -22.3704, 0.2622, 211.50
8, 81, 113, 117, 0.6556, 23.1730, -9.9526, 20.9269, 0.2622, 98.50
8, 86, 30, 127, 0.7611, 1.7394, 1.7394, 0.0000, 0.3806, 183.80
8, 87, 80, 36, 0.6000, 8.7805, -6.6667, 5.7143, 0.1800, 173.33
8, 89, 35, 47, 0.6000, 6.3587, 5.6807, 2.8571, 0.1800, 206.33
8, 20, -5, -3, 0.6511, 21.9350, -16.7224, -14.1952, 0.3256, 213.40
8, 33, -55, 78, 0.5356, 39.4137, -39.3821, 1.5760, 0.2142, 165.50
8, 51, 129, 114, 0.6967, 1.2275, 0.9964, 0.7169, 0.4180, 80.50
8, 62, 4, 42, 0.7067, 6.4389, -0.6004, 6.4109, 0.4240, 219.83
8, 68, 135, 117, 0.5311, 23.5654, 23.4787, -2.0200, 0.2656, 153.60
8, 69, 106, 128, 0.8122, 2.4489, 2.2480, 0.9712, 0.5686, 218.29
9, 9, 88, 37, 0.9889, 0.9742, 0.9454, 0.2349, 0.9889, 207.70
9, 22, 64, 93, 0.6000, 44.2286, -9.1880, 43.2637, 0.1800, 202.50
9, 28, 33, 46, 0.6556, 20.7189, -15.6715, -13.5527, 0.2622, 206.25
9, 41, 68, 94, 0.8167, 1.2552, 1.0216, 0.7294, 0.4900, 164.50
9, 50, 96, 115, 1.0000, 1.4455, -1.2617, 0.7054, 1.0000, 139.73
9, 59, 106, 68, 0.7667, 25.5572, 7.5286, -24.4231, 0.4600, 120.17
9, 64, 85, 31, 0.6556, 13.9577, 12.1652, -6.8429, 0.2622, 216.50
9, 77, 105, 20, 0.6000, 19.9734, 11.7217, 16.1721, 0.1800, 165.33
9, 86, 30, 127, 0.8167, 0.4785, 0.4785, 0.0000, 0.4900, 179.17
9, 19, 91, 52, 0.5400, 39.5457, 39.2807, 4.5706, 0.1620, 203.00
9, 38, 12, 77, 0.8678, 0.9841, 0.9841, 0.0038, 0.6942, 202.62
9, 39, 40, -39, 0.5956, 41.1850, 13.7059, -38.8375, 0.2382, 203.25
9, 42, 91, 120, 0.7067, 7.3001, 4.4642, 5.7760, 0.4240, 157.50
9, 51, 130, 115, 0.6367, 1.2275, 0.9964, 0.7169, 0.3820, 80.50
9, 62, 4, 48, 0.6467, 6.4389, -0.6004, 6.4109, 0.3880, 219.83
9, 69, 109, 129, 0.7522, 2.4489, 2.2480, 0.9712, 0.5266, 218.29
9, 71, 90, 94, 0.5400, 29.7892, 29.7361, -1.7785, 0.1620, 160.33
9, 80, -14, -14, 0.5956, 32.3500, -23.3686, -22.3704, 0.2382, 211.50
9, 81, 104, 138, 0.5956, 23.1730, -9.9526, 20.9269, 0.2382, 98.50
9, 87, 74, 42, 0.5400, 8.7805, -6.6667, 5.7143, 0.1620, 173.33
9, 89, 40, 50, 0.5400, 6.3587, 5.6807, 2.8571, 0.1620, 206.33
10, 9, 88, 37, 1.0000, 0.2213, 0.2188, -0.0328, 1.0000, 205.64
10, 22, 61, 126, 0.6556, 34.3590, -3.5163, 34.1786, 0.2622, 185.88
10, 28, 21, 13, 0.7111, 32.6212, -11.9929, -30.3367, 0.3556, 208.20
10, 38, 14, 78, 0.9833, 1.6356, 1.5520, 0.5163, 0.8850, 200.78
10, 41, 74, 90, 0.8222, 6.6093, 5.5860, -3.5327, 0.5756, 164.86
10, 50, 95, 115, 1.0000, 1.0341, -0.9932, 0.2881, 1.0000, 141.21
